compound,result0
666_Li-Pt,0
667_Li-Au,0
668_Li-Tl,0
669_Li-Pb,0
670_Li-Bi,0
671_Mg-H,1
672_Mg-He,1
673_Mg-Li,1
674_Mg-Be,1
675_Mg-B,1
676_Mg-C,1
677_Mg-N,1
678_Mg-O,1
679_Mg-F,1
680_Mg-Ne,1
681_Mg-Na,1
682_Mg-Mg,1
683_Mg-Al,1
684_Mg-Si,1
685_Mg-P,1
686_Mg-S,1
687_Mg-Cl,1
689_Mg-K,1
690_Mg-Ca,1
691_Mg-Sc,1
692_Mg-Ti,1
693_Mg-V,1
694_Mg-Cr,1
695_Mg-Mn,1
696_Mg-Fe,1
697_Mg-Co,1
698_Mg-Ni,1
699_Mg-Cu,1
700_Mg-Zn,1
701_Mg-Ga,1
702_Mg-Ge,1
703_Mg-As,1
704_Mg-Se,1
705_Mg-Br,1
706_Mg-Kr,1
707_Mg-Rb,1
708_Mg-Sr,1
709_Mg-Y,1
710_Mg-Zr,1
711_Mg-Nb,1
712_Mg-Mo,1
713_Mg-Ru,0
714_Mg-Rh,0
715_Mg-Pd,0
716_Mg-Ag,0
717_Mg-Cd,0
718_Mg-In,0
719_Mg-Sn,0
720_Mg-Sb,0
721_Mg-Te,0
722_Mg-I,0
723_Mg-Xe,0
724_Mg-Cs,0
725_Mg-Ba,0
726_Mg-La,0
727_Mg-Hf,0
728_Mg-Ta,0
729_Mg-W,0
730_Mg-Re,0
731_Mg-Os,0
732_Mg-Ir,0
733_Mg-Pt,0
734_Mg-Au,0
735_Mg-Tl,0
736_Mg-Pb,0
737_Mg-Bi,0
738_Na-H,1
739_Na-He,1
740_Na-Li,1
741_Na-Be,1
742_Na-B,1
743_Na-C,1
744_Na-N,1
745_Na-O,1
746_Na-F,1
747_Na-Ne,1
748_Na-Na,1
749_Na-Mg,1
750_Na-Al,1
751_Na-Si,1
752_Na-P,1
753_Na-S,1
754_Na-Cl,1
755_Na-Ar,1
756_Na-K,1
757_Na-Ca,1
758_Na-Sc,1
759_Na-Ti,1
760_Na-V,1
761_Na-Cr,1
762_Na-Mn,1
763_Na-Fe,1
764_Na-Co,1
765_Na-Ni,1
766_Na-Cu,1
767_Na-Zn,1
768_Na-Ga,1
769_Na-Ge,1
770_Na-As,1
771_Na-Se,1
772_Na-Br,1
773_Na-Kr,1
774_Na-Rb,1
775_Na-Sr,1
776_Na-Y,1
777_Na-Zr,1
778_Na-Nb,1
779_Na-Mo,1
780_Na-Ru,0
781_Na-Rh,0
782_Na-Pd,0
783_Na-Ag,0
784_Na-Cd,0
785_Na-In,0
786_Na-Sn,0
787_Na-Sb,0
788_Na-Te,0
789_Na-I,0
790_Na-Xe,0
791_Na-Cs,0
792_Na-Ba,0
793_Na-La,0
794_Na-Hf,0
795_Na-Ta,0
796_Na-W,0
797_Na-Re,0
798_Na-Os,0
799_Na-Ir,0
800_Na-Pt,0
801_Na-Au,0
802_Na-Tl,0
803_Na-Pb,0
804_Na-Bi,0
805_Ni-H,1
806_Ni-He,1
807_Ni-Li,1
808_Ni-Be,1
809_Ni-B,1
810_Ni-C,1
811_Ni-N,1
812_Ni-O,1
813_Ni-F,1
814_Ni-Ne,1
815_Ni-Na,1
816_Ni-Mg,1
817_Ni-Al,1
818_Ni-Si,1
819_Ni-P,1
820_Ni-S,1
821_Ni-Cl,1
822_Ni-Ar,1
823_Ni-K,1
824_Ni-Ca,1
825_Ni-Sc,1
826_Ni-Ti,1
827_Ni-V,1
828_Ni-Cr,1
829_Ni-Mn,1
830_Ni-Fe,1
831_Ni-Co,1
832_Ni-Ni,1
833_Ni-Cu,1
834_Ni-Zn,1
835_Ni-Ga,1
836_Ni-Ge,1
837_Ni-As,1
838_Ni-Se,1
839_Ni-Br,1
840_Ni-Kr,1
841_Ni-Rb,1
842_Ni-Sr,1
843_Ni-Y,1
844_Ni-Zr,1
845_Ni-Nb,1
846_Ni-Mo,1
847_Ni-Ru,0
848_Ni-Rh,0
849_Ni-Pd,0
850_Ni-Ag,0
851_Ni-Cd,0
852_Ni-In,0
853_Ni-Sn,0
854_Ni-Sb,0
855_Ni-Te,0
856_Ni-I,0
857_Ni-Xe,0
858_Ni-Cs,0
859_Ni-Ba,0
860_Ni-La,0
861_Ni-Hf,0
862_Ni-Ta,0
863_Ni-W,0
864_Ni-Re,0
865_Ni-Os,0
866_Ni-Ir,0
867_Ni-Pt,0
868_Ni-Au,0
869_Ni-Tl,0
870_Ni-Pb,0
871_Ni-Bi,0
872_Os-H,2
873_Os-He,2
874_Os-Li,2
875_Os-Be,2
876_Os-B,2
877_Os-C,2
878_Os-N,2
879_Os-O,2
880_Os-F,2
881_Os-Ne,2
882_Os-Na,2
883_Os-Mg,2
884_Os-Al,2
885_Os-Si,2
886_Os-P,2
887_Os-S,2
888_Os-Cl,2
889_Os-Ar,2
890_Os-K,2
891_Os-Ca,2
892_Os-Sc,2
893_Os-Ti,2
894_Os-V,2
895_Os-Cr,2
896_Os-Mn,2
897_Os-Fe,2
898_Os-Co,2
899_Os-Ni,2
900_Os-Cu,2
901_Os-Zn,2
902_Os-Ga,2
903_Os-Ge,2
904_Os-As,2
905_Os-Se,2
906_Os-Br,2
907_Os-Kr,2
908_Os-Rb,2
909_Os-Sr,2
910_Os-Y,2
911_Os-Zr,2
912_Os-Nb,2
913_Os-Mo,2
914_Os-Ru,2
915_Os-Rh,2
916_Os-Pd,2
917_Os-Ag,2
918_Os-Cd,2
919_Os-In,2
920_Os-Sn,2
921_Os-Sb,2
922_Os-Te,2
923_Os-I,2
924_Os-Xe,2
925_Os-Cs,2
926_Os-Ba,2
927_Os-La,2
928_Os-Hf,2
929_Os-Ta,2
930_Os-W,2
931_Os-Re,2
932_Os-Os,2
933_Os-Ir,2
934_Os-Pt,2
935_Os-Au,2
936_Os-Tl,2
937_Os-Pb,2
938_Os-Bi,2
939_Pd-H,1
940_Pd-He,1
941_Pd-Li,1
942_Pd-Be,1
943_Pd-B,1
944_Pd-C,1
945_Pd-N,1
946_Pd-O,1
947_Pd-F,1
948_Pd-Ne,1
949_Pd-Na,1
950_Pd-Mg,1
951_Pd-Al,1
952_Pd-Si,1
953_Pd-P,1
954_Pd-S,1
955_Pd-Cl,1
956_Pd-Ar,1
957_Pd-K,1
958_Pd-Ca,1
959_Pd-Sc,1
960_Pd-Ti,1
961_Pd-V,1
962_Pd-Cr,1
963_Pd-Mn,1
964_Pd-Fe,1
965_Pd-Co,1
966_Pd-Ni,1
967_Pd-Cu,1
968_Pd-Zn,1
969_Pd-Ga,1
970_Pd-Ge,1
971_Pd-As,1
972_Pd-Se,1
973_Pd-Br,1
974_Pd-Kr,1
975_Pd-Rb,1
976_Pd-Sr,1
977_Pd-Y,1
978_Pd-Zr,1
979_Pd-Nb,1
980_Pd-Mo,1
981_Pd-Ru,0
982_Pd-Rh,0
983_Pd-Pd,0
984_Pd-Ag,0
985_Pd-Cd,0
986_Pd-In,0
987_Pd-Sn,0
988_Pd-Sb,0
989_Pd-Te,0
990_Pd-I,0
991_Pd-Xe,0
992_Pd-Cs,0
993_Pd-Ba,0
994_Pd-La,0
995_Pd-Hf,0
996_Pd-Ta,0
997_Pd-W,0
998_Pd-Re,0
999_Pd-Os,0
1000_Pd-Ir,0
1001_Pd-Pt,0
1002_Pd-Au,0
1003_Pd-Tl,0
1004_Pd-Pb,0
1005_Pd-Bi,0
1006_Pt-H,2
1007_Pt-He,2
1008_Pt-Li,2
1009_Pt-Be,2
1010_Pt-B,2
1011_Pt-C,2
1012_Pt-N,2
1013_Pt-O,2
1014_Pt-F,2
1015_Pt-Ne,2
1016_Pt-Na,2
1017_Pt-Mg,2
1018_Pt-Al,2
1019_Pt-Si,2
1020_Pt-P,2
1021_Pt-S,2
1022_Pt-Cl,2
1023_Pt-Ar,2
1024_Pt-K,2
1025_Pt-Ca,2
1026_Pt-Sc,2
1027_Pt-Ti,2
1028_Pt-V,2
1029_Pt-Cr,2
1030_Pt-Mn,2
1031_Pt-Fe,2
1032_Pt-Co,2
1033_Pt-Ni,2
1034_Pt-Cu,2
1035_Pt-Zn,2
1036_Pt-Ga,2
1037_Pt-Ge,2
1038_Pt-As,2
1039_Pt-Se,2
1040_Pt-Br,2
1041_Pt-Kr,2
1042_Pt-Rb,2
1043_Pt-Sr,2
1044_Pt-Y,2
1045_Pt-Zr,2
1046_Pt-Nb,2
1047_Pt-Mo,2
1048_Pt-Ru,2
1049_Pt-Rh,2
1050_Pt-Pd,2
1051_Pt-Ag,2
1052_Pt-Cd,2
1053_Pt-In,2
1054_Pt-Sn,2
1055_Pt-Sb,2
1056_Pt-Te,2
1057_Pt-I,2
1058_Pt-Xe,2
1059_Pt-Cs,2
1060_Pt-Ba,2
1061_Pt-La,2
1062_Pt-Hf,2
1063_Pt-Ta,2
1064_Pt-W,2
1065_Pt-Re,2
1066_Pt-Os,2
1067_Pt-Ir,2
1068_Pt-Pt,2
1069_Pt-Au,2
1070_Pt-Tl,2
1071_Pt-Pb,2
1072_Pt-Bi,2
1073_Rh-H,1
1074_Rh-He,1
1075_Rh-Li,1
1076_Rh-Be,1
1077_Rh-B,1
1078_Rh-C,1
1079_Rh-N,1
1080_Rh-O,1
1081_Rh-F,1
1082_Rh-Ne,1
1083_Rh-Na,1
1084_Rh-Mg,1
1085_Rh-Al,1
1086_Rh-Si,1
1087_Rh-P,1
1088_Rh-S,1
1089_Rh-Cl,1
1090_Rh-Ar,1
1091_Rh-K,1
1092_Rh-Ca,1
1093_Rh-Sc,1
1094_Rh-Ti,1
1095_Rh-V,1
1096_Rh-Cr,1
1097_Rh-Mn,1
1098_Rh-Fe,1
1099_Rh-Co,1
1100_Rh-Ni,1
1101_Rh-Cu,1
1102_Rh-Zn,1
1103_Rh-Ga,1
1104_Rh-Ge,1
1105_Rh-As,1
1106_Rh-Se,1
1107_Rh-Br,1
1108_Rh-Kr,1
1109_Rh-Rb,1
1110_Rh-Sr,1
1111_Rh-Y,1
1112_Rh-Zr,1
1113_Rh-Nb,1
1114_Rh-Mo,1
1115_Rh-Ru,0
1116_Rh-Rh,0
1117_Rh-Pd,0
1118_Rh-Ag,0
1119_Rh-Cd,0
1120_Rh-In,0
1121_Rh-Sn,0
1122_Rh-Sb,0
1123_Rh-Te,0
1124_Rh-I,0
1125_Rh-Xe,0
1126_Rh-Cs,0
1127_Rh-Ba,0
1128_Rh-La,0
1129_Rh-Hf,0
1130_Rh-Ta,0
1131_Rh-W,0
1132_Rh-Re,0
1133_Rh-Os,0
1134_Rh-Ir,0
1135_Rh-Pt,0
1136_Rh-Au,0
1137_Rh-Tl,0
1138_Rh-Pb,0
1139_Rh-Bi,0
1140_Ru-H,1
1141_Ru-He,1
1142_Ru-Li,1
1143_Ru-Be,1
1144_Ru-B,1
1145_Ru-C,1
1146_Ru-N,1
1147_Ru-O,1
1148_Ru-F,1
1149_Ru-Ne,1
1150_Ru-Na,1
1151_Ru-Mg,1
1152_Ru-Al,1
1153_Ru-Si,1
1154_Ru-P,1
1155_Ru-S,1
1156_Ru-Cl,1
1157_Ru-Ar,1
1158_Ru-K,1
1159_Ru-Ca,1
1160_Ru-Sc,1
1161_Ru-Ti,1
1162_Ru-V,1
1163_Ru-Cr,1
1164_Ru-Mn,1
1165_Ru-Fe,1
1166_Ru-Co,1
1167_Ru-Ni,1
1168_Ru-Cu,1
1169_Ru-Zn,1
1170_Ru-Ga,1
1171_Ru-Ge,1
1172_Ru-As,1
1173_Ru-Se,1
1174_Ru-Br,1
1175_Ru-Kr,1
1176_Ru-Rb,1
1177_Ru-Sr,1
1178_Ru-Y,1
1179_Ru-Zr,1
1180_Ru-Nb,1
1181_Ru-Mo,1
1182_Ru-Ru,0
1183_Ru-Rh,0
1184_Ru-Pd,0
1185_Ru-Ag,0
1186_Ru-Cd,0
1187_Ru-In,0
1188_Ru-Sn,0
1189_Ru-Sb,0
1190_Ru-Te,0
1191_Ru-I,0
1192_Ru-Xe,0
1193_Ru-Cs,0
1194_Ru-Ba,0
1195_Ru-La,0
1196_Ru-Hf,0
1197_Ru-Ta,0
1198_Ru-W,0
1199_Ru-Re,0
1200_Ru-Os,0
1201_Ru-Ir,0
1202_Ru-Pt,0
1203_Ru-Au,0
1204_Ru-Tl,0
1205_Ru-Pb,0
1206_Ru-Bi,0
1207_Si-H,1
1208_Si-He,1
1209_Si-Li,1
1210_Si-Be,1
1211_Si-B,1
1212_Si-C,1
1213_Si-N,1
1214_Si-O,1
1215_Si-F,1
1216_Si-Ne,1
1217_Si-Na,1
1218_Si-Mg,1
1219_Si-Al,1
1220_Si-Si,1
1221_Si-P,1
1222_Si-S,1
1223_Si-Cl,1
1224_Si-Ar,1
1225_Si-K,1
1226_Si-Ca,1
1227_Si-Sc,1
1228_Si-Ti,1
1229_Si-V,1
1230_Si-Cr,1
1231_Si-Mn,1
1232_Si-Fe,1
1233_Si-Co,1
1234_Si-Ni,1
1235_Si-Cu,1
1236_Si-Zn,1
1237_Si-Ga,1
1238_Si-Ge,1
1239_Si-As,1
1240_Si-Se,1
1241_Si-Br,1
1242_Si-Kr,1
1243_Si-Rb,1
1244_Si-Sr,1
1245_Si-Y,1
1246_Si-Zr,1
1247_Si-Nb,1
1248_Si-Mo,1
1249_Si-Ru,0
1250_Si-Rh,0
1251_Si-Pd,0
1252_Si-Ag,0
1253_Si-Cd,0
1254_Si-In,0
1255_Si-Sn,0
1256_Si-Sb,0
1257_Si-Te,0
1258_Si-I,0
1259_Si-Xe,0
1260_Si-Cs,0
1261_Si-Ba,0
1262_Si-La,0
1263_Si-Hf,0
1264_Si-Ta,0
